,Sample Number,Lubrication Condition,Pin Material,Weight (kg),RPM,wear0,wear1,wear2,friction0,friction1,friction2
49,50,Half Lubrication,Aluminium,2,150,117.29235294117649,118.93411764705883,122.3164705882353,1.6888235294117648,1.664705882352941,1.7188235294117646
50,51,Half Lubrication,Aluminium,2,200,63.98647058823529,68.78999999999999,69.21764705882352,1.4505882352941175,1.474705882352941,1.4870588235294118
51,52,Half Lubrication,Aluminium,2,250,84.16058823529411,78.44823529411765,93.32000000000001,1.2670588235294118,1.2888235294117647,1.3670588235294119
52,53,Half Lubrication,Aluminium,3,100,117.01764705882353,117.90176470588236,118.37352941176471,3.2841176470588236,3.320588235294118,3.3047058823529407
53,54,Half Lubrication,Aluminium,3,150,47.040588235294116,48.848235294117636,50.59294117647059,3.092941176470588,3.105882352941176,3.087058823529412
54,55,Half Lubrication,Aluminium,3,200,72.05352941176471,85.46470588235294,74.83294117647058,2.7505882352941176,2.777647058823529,2.7811764705882354
55,56,Half Lubrication,Aluminium,3,250,89.48529411764706,90.52882352941177,92.85588235294118,2.492941176470588,2.5182352941176473,2.6488235294117644
56,57,Half Lubrication,Aluminium,4,100,81.27705882352942,84.53999999999999,88.66411764705882,4.686470588235293,4.681764705882352,4.701764705882352
57,58,Half Lubrication,Aluminium,4,150,103.57647058823531,107.14823529411765,109.56470588235294,4.358823529411764,4.355882352941176,4.365882352941177
58,59,Half Lubrication,Aluminium,4,200,121.94764705882353,124.27058823529411,125.63470588235293,4.063529411764706,4.029411764705882,4.074117647058824
59,60,Half Lubrication,Aluminium,4,250,126.51235294117647,127.71999999999998,126.35470588235296,3.845294117647059,3.8664705882352943,3.8823529411764706
60,61,Half Lubrication,Aluminium,5,100,84.53764705882354,85.34882352941177,92.4835294117647,5.981764705882352,6.010000000000001,6.013529411764706
61,62,Half Lubrication,Aluminium,5,150,110.23235294117646,112.67588235294117,116.23941176470588,5.67764705882353,5.623529411764705,5.62764705882353
62,63,Half Lubrication,Aluminium,5,200,128.6935294117647,131.03,133.26529411764707,5.378823529411765,5.460000000000001,5.465882352941176
63,64,Half Lubrication,Aluminium,5,250,128.09,127.57000000000001,127.94411764705883,5.074705882352941,5.162352941176471,5.258235294117647
64,65,Full Lubrication,Brass,8,100,62.16411764705882,63.30176470588235,64.27058823529411,9.48470588235294,9.50529411764706,9.51
65,66,Full Lubrication,Brass,8,150,73.35823529411765,75.22529411764705,76.56705882352941,9.06529411764706,9.04058823529412,8.99705882352941
66,67,Full Lubrication,Brass,8,200,101.26235294117647,99.5494117647059,101.89235294117647,8.38529411764706,8.316470588235294,8.361176470588235
67,68,Full Lubrication,Brass,8,250,103.53058823529412,108.58764705882353,111.2994117647059,7.903529411764707,7.990588235294118,7.888823529411764
68,69,Full Lubrication,Brass,9,100,147.3105882352941,148.25117647058823,147.41470588235296,10.500588235294119,10.48,10.558235294117647
69,70,Full Lubrication,Brass,9,150,156.0241176470588,157.96352941176468,158.36823529411765,9.852352941176472,9.834117647058823,9.834705882352942
70,71,Full Lubrication,Brass,9,200,156.56411764705882,161.75470588235294,163.8994117647059,9.291764705882352,9.281764705882352,9.315882352941177
71,72,Full Lubrication,Brass,9,250,139.41705882352943,138.95529411764704,139.14882352941177,8.906470588235294,8.865882352941176,8.852941176470589
72,73,Full Lubrication,Brass,10,100,112.05823529411765,114.2235294117647,114.3564705882353,11.92235294117647,11.958823529411763,11.98294117647059
73,74,Full Lubrication,Brass,10,150,119.47588235294118,121.76705882352941,125.21352941176471,11.235882352941175,11.212941176470588,11.200588235294116
